"Receiver_ID","Name","Type","City","total_claims","total_quantity_claimed","average_quantity_per_claim"
301,Kristina Simpson,NGO,Melissaport,1,24,24.00
149,Nathan Willis,NGO,Danielfort,1,24,24.00
269,Mrs. Paula Jones,Individual,Emilymouth,2,47,23.50
495,Andrea Meyer,Individual,Christophertown,2,47,23.50
786,Robert Kim,Shelter,Port Gabrielleborough,2,46,23.00
821,Jeffrey Wilson,Charity,Davisport,1,23,23.00
532,David Sellers DVM,Individual,South Michaelfurt,1,23,23.00
497,Miss Jamie Gonzalez DDS,Charity,Proctorville,1,23,23.00
730,Felicia Glover,Shelter,East Michael,1,23,23.00
612,Meredith Griffin,NGO,Patriciamouth,1,23,23.00
126,Heather Brown,NGO,North Lori,1,23,23.00
440,Alexander Walsh,Individual,Troyshire,2,45,22.50
781,Jason Taylor,NGO,Reginaburgh,2,44,22.00
791,David Kennedy,Charity,Port Caleb,1,22,22.00
850,Kristopher Mendoza,Individual,Bradfurt,2,43,21.50
124,Marie Andrade,Charity,Meghanfort,1,21,21.00
929,Donna Terry,Charity,Mathistown,1,21,21.00
212,Ronald Gonzalez,Shelter,Stevenmouth,1,21,21.00
228,Joanna Wilkins,Charity,Singletonview,1,21,21.00
529,Amy Perez,Charity,West Jacquelineland,1,21,21.00
624,Alvin Day Jr.,NGO,East Heatherbury,1,21,21.00
424,Pamela Harris,Charity,Lewisfort,1,21,21.00
843,Glenn Anthony,Charity,Halltown,2,41,20.50
505,Alexandra Owens,NGO,Bradleyland,3,61,20.33
747,Vanessa Johnson,Shelter,Wilsonshire,2,40,20.00
379,Tara Graham,Shelter,Lake Cory,1,20,20.00
837,Michelle Reed,Shelter,West John,1,20,20.00
538,Ronald Norton,Individual,Carterton,2,39,19.50
310,Gary Adams,Individual,New Sara,1,19,19.00
302,Daniel Moore,Charity,Port Richard,1,19,19.00
771,Emily Gallagher,Individual,Wagnerburgh,1,19,19.00
449,Mrs. Valerie Hartman,NGO,Port Jenniferborough,1,19,19.00
1000,April Miller,Shelter,Shelbychester,1,19,19.00
353,Mrs. Stacey Morales MD,Individual,Juliastad,2,37,18.50
546,Meagan Hughes,Charity,Lake Lance,1,18,18.00
500,Richard Patterson,Charity,Huynhmouth,1,18,18.00
983,Joanna Black,NGO,North Jacobhaven,1,18,18.00
398,Alex White,Charity,Port Carmen,1,18,18.00
571,Lydia Phillips,Shelter,North Hollyland,2,35,17.50
499,Ricky Harmon,Individual,Port Chaseport,1,17,17.00
43,Bobby Perry,Charity,Amberfort,1,17,17.00
542,Savannah Neal,Individual,Ashleeside,1,17,17.00
171,Suzanne Velasquez,NGO,Joanchester,1,17,17.00
647,Christine Davis,Charity,Josephton,1,17,17.00
625,Paul Lee,NGO,Stephenchester,1,17,17.00
109,Rachel Nguyen,NGO,Theresamouth,1,17,17.00
852,Jo Martinez,Charity,Port Williamtown,1,17,17.00
671,Cindy Green PhD,NGO,Sharpfurt,1,17,17.00
50,Brian Gonzales,NGO,North Sarah,1,16,16.00
72,Charles Davidson,Shelter,West Angelatown,1,16,16.00
183,Nicole Walker,Individual,Thomasland,2,32,16.00
756,Emma Anderson,NGO,Lake Michelle,1,16,16.00
830,Jeffrey Cooper,Shelter,Lake Christian,1,16,16.00
220,Cassandra Mendoza,NGO,Dantown,1,16,16.00
418,Miss Mary Turner,Charity,North Holly,2,32,16.00
934,Dr. Wendy Terrell,Charity,Erikashire,1,15,15.00
705,Christopher Sellers,Charity,East Nathanstad,1,15,15.00
970,Brandon Rice,Shelter,South Benjamin,1,15,15.00
328,Carlos Lawrence,Individual,New Justinhaven,1,15,15.00
88,Eric Ryan DDS,NGO,Lake Daniel,1,15,15.00
6,Mandy Sutton PhD,Shelter,East Sharimouth,2,30,15.00
687,Danny Palmer,NGO,North Erikhaven,1,15,15.00
748,Bridget Williams,Charity,South Williamview,1,14,14.00
975,Danielle Bullock,Individual,Amandafurt,1,14,14.00
181,Paul Evans,NGO,Smithshire,2,28,14.00
416,Ernest Cox,Shelter,Christinaland,1,13,13.00
351,Kerry Jones,Charity,New Christopher,1,13,13.00
555,Mary Lewis,Individual,Port Richard,1,13,13.00
676,John Williams,Charity,Brooksborough,1,13,13.00
869,David Mendoza,Charity,North Shawnastad,1,13,13.00
297,Deanna Daniels,Individual,Aguilarstad,1,13,13.00
480,Michael Roberson,NGO,South Davidstad,1,12,12.00
294,Cynthia Horton,NGO,Jamesstad,1,12,12.00
373,Seth Esparza,Shelter,Port Brandonberg,1,12,12.00
394,Kyle Kerr,Charity,Sarahville,1,12,12.00
872,Lori Peters,Individual,Annaborough,1,12,12.00
90,Alvin West,Shelter,Kellybury,2,24,12.00
477,Jorge Young,Shelter,Lake Rebeccaton,1,11,11.00
949,Allison Pennington,Individual,North Lydiaberg,1,11,11.00
489,Erin Foster,Charity,Jessicatown,1,11,11.00
396,Allison Martinez,NGO,New Amy,1,10,10.00
615,Rachel Carson,NGO,Robertside,1,10,10.00
399,Jennifer Hughes,Charity,West Donnaton,1,10,10.00
565,Brian Blankenship,Charity,East Jordanborough,1,10,10.00
554,Margaret Mccullough,Charity,Ortizmouth,1,10,10.00
367,Ricardo Roberts,Individual,West Matthewborough,1,9,9.00
817,Victoria Torres,Charity,Martinchester,1,9,9.00
883,Aaron Rios,NGO,New Jeffreyhaven,1,9,9.00
879,Bridget Hill,Charity,South Emily,1,9,9.00
566,Michael Lewis,Individual,East Kimberlymouth,1,9,9.00
185,Shannon Pineda,Individual,Lake Amanda,1,8,8.00
479,Karen Reeves MD,NGO,Lake Mitchellbury,1,8,8.00
794,Lee Nunez,Individual,Andersonfort,1,8,8.00
679,Alexis Rodriguez,Shelter,South Shirleymouth,1,8,8.00
259,Aimee Stone,NGO,Barnesport,1,7,7.00
737,James Brown,Shelter,Lake Catherine,1,7,7.00
494,Timothy Chavez,Individual,Brooksmouth,1,7,7.00
848,Terrence Wagner,Individual,Taraside,1,7,7.00
878,Cory Johnson,NGO,Port Robertmouth,1,7,7.00
935,John Harris,NGO,Riverafort,1,7,7.00
964,Donald Moore,Individual,Davisfort,1,6,6.00
536,Margaret Lloyd,Shelter,Phillipston,1,6,6.00
419,Teresa Jackson,Shelter,Port Thomasstad,1,6,6.00
788,Beth Phillips,NGO,Zacharyview,1,5,5.00
503,Eileen Scott,Charity,Lewismouth,1,5,5.00
959,Samantha Gomez,Charity,Suzanneton,1,5,5.00
908,Abigail Crawford,NGO,Lake Shawn,1,5,5.00
409,Matthew Simmons PhD,Shelter,Brandonhaven,1,4,4.00
921,Kelly Walls,Individual,Lake Victoriaton,1,4,4.00
240,Ronald Miller,Shelter,Edwardsside,1,4,4.00
558,Samantha Salinas,Charity,Rayberg,1,4,4.00
680,James Lewis,NGO,Richardton,1,4,4.00
132,Katherine Gomez,Charity,South Jasonberg,1,4,4.00
815,James Miller,NGO,North Dawn,1,4,4.00
706,Shannon Jensen,Shelter,Lake Kevinport,1,4,4.00
717,Jonathon Gregory,Individual,Shortfort,1,3,3.00
666,Meredith Hull,NGO,Markfurt,1,3,3.00
462,Timothy Martin,Charity,Lake Adriennechester,1,3,3.00
299,Michael Curtis,Shelter,Alexanderbury,1,3,3.00
355,Brian Hoffman,Shelter,Lake Dillonborough,1,3,3.00
709,Matthew Sanchez,Individual,New Stephanie,1,3,3.00
840,Mary Anderson,Shelter,South Mirandamouth,1,3,3.00
619,Taylor Estrada,NGO,Nguyenview,1,3,3.00
227,Samuel Hodge,NGO,Port Maria,1,3,3.00
239,Lindsay Garcia,NGO,North Kimberlyport,1,3,3.00
673,Shelly Castillo,Charity,Chenview,1,2,2.00
782,Timothy Burns,Charity,East Janetstad,1,2,2.00
968,Mr. Joseph Herring,Individual,Mariefurt,1,2,2.00
460,Karen Stafford,Shelter,West Justinberg,1,2,2.00
608,Oscar Bauer,Charity,South Nicoleberg,1,1,1.00
695,Janet Newton,Individual,West Amandaport,1,1,1.00
904,Amanda Kline,Shelter,East Travis,1,1,1.00
